"","id_ccbh","bpo_ecoli","cco_ecoli","mfo_ecoli","bp_ecoli","cc_ecoli","mf_ecoli","bpo_pao1","cco_pao1","mfo_pao1","bp_pao1","cc_pao1","mf_pao1"
"4294","PA4851_30800",0.214,NA,0.12,1,NA,1,0.218,NA,0.31,1,NA,2
"4295","PA4851_30805",NA,NA,0.393,NA,NA,2,NA,NA,0.431,NA,NA,2
"4296","PA4851_30815",NA,0.47,NA,NA,2,NA,NA,0.252,NA,NA,2,NA
"4297","PA4851_30820",1,1,0.865,4,4,4,1,1,0.865,4,4,4
"4298","PA4851_30825",0.153,0.169,0.174,1,1,1,0.308,NA,0.295,2,NA,2
"4299","PA4851_30830",0.122,NA,0.618,1,NA,3,0.226,NA,0.151,1,NA,1
"4300","PA4851_30835",0.203,0.455,0.404,1,2,2,0.074,0.345,0.148,1,2,1
"4301","PA4851_30840",0.222,0.169,0.13,1,1,1,0.267,0.283,0.154,2,2,1
"4302","PA4851_30845",NA,0.5,0.095,NA,2,1,NA,0.524,0.09,NA,3,1
"4303","PA4851_30850",NA,NA,0.17,NA,NA,1,NA,NA,0.192,NA,NA,1
"4304","PA4851_30860",0.656,0.37,0.821,3,2,4,0.229,0.346,0.423,1,2,2
"4305","PA4851_30865",0.005,0.684,0.748,1,3,3,0.11,0.298,0.123,1,2,1
"4306","PA4851_30870",0.315,0.456,0.218,2,2,1,NA,NA,0.19,NA,NA,1
"4307","PA4851_30875",0.315,0.659,0.57,2,3,3,0.124,0.397,0.481,1,2,2
"4308","PA4851_30880",NA,0.329,NA,NA,2,NA,NA,0.37,NA,NA,2,NA
"4309","PA4851_30885",0.772,0.078,0.472,4,1,2,0.23,0.179,0.362,1,1,2
"4310","PA4851_30890",1,1,0.527,4,4,3,0.811,NA,0.059,4,NA,1
"4311","PA4851_30895",0.098,0.169,0.128,1,1,1,0.095,0.283,0.15,1,2,1
"4312","PA4851_30905",0.378,0.441,0.575,2,2,3,0.155,0.31,0.464,1,2,2
"4313","PA4851_30910",0.33,0.536,0.328,2,3,2,0.305,0.587,0.34,2,3,2
